tweet_text;user_id;user_display_name;user_screen_name;follower_count;following_count;account_creation_date;tweet_time;in_reply_to_userid;like_count;retweet_count;Num_Syllables;id;Avg_Syllables;Avg_Words_in_Sentences;Flesh-Kincaid;Num_Big_words;Num_Long_Sentences;Num_Sentences;Num_Short_Sentences;Num_Urls;Num_words;Rate_Adv_adj;class
I must stick to the post, says a police officer in Hong Kong, despite the social unrest that has gripped the city??Ý https://t.co/lYdAA8lhW9;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/20/19 1:32 PM;;28.0;7.0;41.0;1.0;1,7826086957;22;14,4147826087;6.0;.0;1.0;.0;1.0;23.0;0,0434782609;real
President Xi Jinping says he believes that the Chinese people, including compatriots in Hong Kong and #Macao, have??Ý https://t.co/M6umOlL0Kk;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/20/19 5:59 AM;;28.0;3.0;42.0;2.0;2,2105263158;18;17,9042105263;8.0;.0;1.0;.0;1.0;19.0;0,0526315789;real
President Xi Jinping says that China will not allow any external forces to interfere with Hong Kong and #Macao affa??Ý https://t.co/6smWuirl1W;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/20/19 3:17 AM;;64.0;19.0;43.0;3.0;2,0476190476;20;16,7619047619;6.0;.0;1.0;.0;1.0;21.0;0,0952380952;real
President Xi said the central government fully supports the future work plan of the Hong Kong SAR government??Ý https://t.co/XcjG4tooVv;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/19/19 4:54 PM;;60.0;17.0;34.0;4.0;1,7894736842;18;12,9357894737;6.0;.0;1.0;.0;1.0;19.0;0,1052631579;real
#HongKong police arrest 4 people for money laundering, freeze some 9 mln USD of funds. The gang are also suspected??Ý https://t.co/XeUkkEwfPq;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/19/19 2:02 PM;;47.0;10.0;42.0;5.0;2;10;12105;8.0;.0;2.0;1.0;1.0;21.0;0,1428571429;real
U.S. 'pouring oil over fire' in Hong Kong to undermine China's reputation: Serbian party leader https://t.co/jd28F0pCGv;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/19/19 6:52 AM;;59.0;19.0;42.0;6.0;2625;5,3333333333;17465;6.0;.0;3.0;2.0;1.0;16.0;0,0625;real
Facing fierce and long-lasting social violence and attacks on police force, #HongKongPolice officers hold their pos??Ý https://t.co/BqdvdsNhWl;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/19/19 4:43 AM;;24.0;5.0;33.0;7.0;1,9411764706;16;13,9458823529;10.0;.0;1.0;.0;1.0;17.0;0,1176470588;real
Double-decker bus crashes into tree in Hong Kong, killing at least 6, injuring over 30 https://t.co/mdu5z6sFDG https://t.co/j6tazjv5dl;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/18/19 11:16 AM;;19.0;9.0;33.0;8.0;1,9411764706;15;13,9458823529;4.0;.0;1.0;.0;2.0;17.0;0,0588235294;real
Hong Kong, Macao join hands to tap opportunities of Greater Bay Area https://t.co/pFZInbzGHy https://t.co/VznzMM3Ych;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/18/19 9:10 AM;;39.0;7.0;25.0;9.0;1,7857142857;12;10,9414285714;2.0;.0;1.0;.0;2.0;14.0;0;real
While Hong Kong police are dealing with violent acts ranging from vandalizing shops, setting fires and assaulting i??Ý https://t.co/i1HLkirzYX;487118986.0;China Xinhua News;XHNews;12616791.0;61.0;Thu Feb 09 01:10:18 +0000 2012;12/17/19 2:34 PM;;37.0;12.0;35.0;10.0;1,8421052632;18;13,5568421053;8.0;.0;1.0;.0;1.0;19.0;0,0526315789;real
